pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2008-2009,0809,occupation,C(docc00_t)[T.3.0],11.685603883099525,10.53932838842533,0.2675329878219149,-8.971100179454691,32.34230794565374,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.4.0],-37.54704239572657,34.59077912857473,0.2777162392933299,-105.34372368491285,30.249638893459696,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.5.0],-10.067106695479634,15.28613006848547,0.5101668895462538,-40.02737109270594,19.893157701746677,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.6.0],-1.1303663719233026,10.65130100504616,0.9154833955544234,-22.006532730309054,19.745799986462448,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.7.0],-12.721689987295143,12.721808219213138,0.3173150054618882,-37.65597591517853,12.212595940588248,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.8.0],4.646031594240401,7.4446198164637805,0.5325756424408656,-9.945155124621797,19.2372183131026,693,0.22212089943418367,earnwt_t
2008-2009,0809,occupation,C(docc00_t)[T.9.0],-35.97224855747864,26.769622822131456,0.17902238072047472,-88.43974516857777,16.495248053620486,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.10],-22.238616305699548,30.734146759118303,0.4693235757554841,-82.47643704913983,37.99920443774075,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.2],-2.2038635375975018,4.73990473882417,0.641960490023133,-11.493906115843606,7.086179040648602,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.3],-42.808481196343564,31.830211659694292,0.17865723056085836,-105.19454966963127,19.577587276944143,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.4],-21.859903308766114,19.993563629435595,0.2742414634384226,-61.04656794506981,17.32676132753758,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.5],8.14319746685631,4.990006464550142,0.1027003041934534,-1.6370354862840122,17.923430419996635,693,0.22212089943418367,earnwt_t
2008-2009,0809,race,C(race_t)[T.7],23.53974449097392,21.774365641324174,0.27966330045729204,-19.13722795222786,66.21671693417571,693,0.22212089943418367,earnwt_t
2008-2009,0809,sex,C(sex_t)[T.2],2.806527273586906,4.031839441255833,0.4863718230176788,-5.095732822722622,10.708787369896434,693,0.22212089943418367,earnwt_t
2008-2009,0809,treatment,illinois,5.369008477706495,3.436168719456563,0.11817059842184834,-1.3657584572314856,12.103775412644474,693,0.22212089943418367,earnwt_t
2008-2009,0809,union,C(unioncov_t)[T.2.0],-1.4886539374588974,8.529409398352824,0.861447471259225,-18.205989167627884,15.228681292710089,693,0.22212089943418367,earnwt_t
2008-2009,0809,union,C(unioncov_t)[T.MISSING],-10.10567014044364,15.345479722207905,0.5101887782287022,-40.18225772146084,19.970917440573565,693,0.22212089943418367,earnwt_t
2008-2009,0809,union,C(unionmme_t)[T.2.0],-15.252743904708366,15.831097407144862,0.33531309105614104,-46.28112465845773,15.775636849040996,693,0.22212089943418367,earnwt_t
2009-2010,0910,age,I(age_t ** 2),-0.009846411171244964,0.010388336050143462,0.3432143088756159,-0.030207175688825232,0.010514353346335301,689,0.1630276505269368,earnwt_t
